Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
10/29/2018 4:50:50 PM,3,PAU,29:47:44.779,00:01:00.001,0,0,NN_Char_Charge,3.20391,0.00000,23.76583,0.00000,0.00000,7.00000,
10/29/2018 4:51:50 PM,3,PAU,29:48:44.778,00:02:00.000,0,0,NN_Char_Charge,3.20509,0.00000,23.87099,0.00000,0.00000,7.00000,
10/29/2018 4:52:50 PM,3,PAU,29:49:44.780,00:03:00.002,0,0,NN_Char_Charge,3.20610,0.00000,23.87099,0.00000,0.00000,7.00000,
10/29/2018 4:53:50 PM,3,PAU,29:50:44.777,00:03:59.999,0,0,NN_Char_Charge,3.20711,0.00000,23.76583,0.00000,0.00000,7.00000,
10/29/2018 4:54:50 PM,3,PAU,29:51:44.777,00:04:59.999,0,0,NN_Char_Charge,3.20795,0.00000,23.66067,0.00000,0.00000,7.00000,
10/29/2018 4:55:50 PM,3,PAU,29:52:44.776,00:05:59.998,0,0,NN_Char_Charge,3.20896,0.00000,23.66067,0.00000,0.00000,7.00000,
10/29/2018 4:56:50 PM,3,PAU,29:53:44.779,00:07:00.001,0,0,NN_Char_Charge,3.20964,0.00000,23.76583,0.00000,0.00000,7.00000,
10/29/2018 4:57:50 PM,3,PAU,29:54:44.777,00:07:59.999,0,0,NN_Char_Charge,3.21048,0.00000,23.87099,0.00000,0.00000,7.00000,
10/29/2018 4:58:50 PM,3,PAU,29:55:44.778,00:09:00.000,0,0,NN_Char_Charge,3.21115,0.00000,23.87099,0.00000,0.00000,7.00000,
10/29/2018 4:59:50 PM,3,PAU,29:56:44.780,00:10:00.002,0,0,NN_Char_Charge,3.21200,0.00000,23.66067,0.00000,0.00000,7.00000,
10/29/2018 5:00:50 PM,3,PAU,29:57:44.780,00:11:00.002,0,0,NN_Char_Charge,3.21267,0.00000,23.66067,0.00000,0.00000,7.00000,
10/29/2018 5:01:50 PM,3,PAU,29:58:44.777,00:11:59.999,0,0,NN_Char_Charge,3.21318,0.00000,23.76583,0.00000,0.00000,7.00000,
10/29/2018 5:02:50 PM,3,PAU,29:59:44.778,00:13:00.000,0,0,NN_Char_Charge,3.21385,0.00000,23.76583,0.00000,0.00000,7.00000,
