Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
10/29/2018 10:29:12 PM,3,PAU,35:26:07.210,00:00:59.999,0,0,NN_Char_Charge,3.21335,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:30:12 PM,3,PAU,35:27:07.213,00:02:00.002,0,0,NN_Char_Charge,3.21453,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:31:12 PM,3,PAU,35:28:07.212,00:03:00.001,0,0,NN_Char_Charge,3.21554,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:32:12 PM,3,PAU,35:29:07.213,00:04:00.002,0,0,NN_Char_Charge,3.21638,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:33:12 PM,3,PAU,35:30:07.210,00:04:59.999,0,0,NN_Char_Charge,3.21739,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:34:12 PM,3,PAU,35:31:07.213,00:06:00.002,0,0,NN_Char_Charge,3.21823,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:35:12 PM,3,PAU,35:32:07.212,00:07:00.001,0,0,NN_Char_Charge,3.21891,0.00000,23.76583,0.00000,0.00000,8.00000,
10/29/2018 10:36:12 PM,3,PAU,35:33:07.211,00:08:00.000,0,0,NN_Char_Charge,3.21975,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:37:12 PM,3,PAU,35:34:07.214,00:09:00.003,0,0,NN_Char_Charge,3.22043,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:38:12 PM,3,PAU,35:35:07.211,00:10:00.000,0,0,NN_Char_Charge,3.22110,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:39:12 PM,3,PAU,35:36:07.210,00:10:59.999,0,0,NN_Char_Charge,3.22177,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:40:12 PM,3,PAU,35:37:07.210,00:11:59.999,0,0,NN_Char_Charge,3.22245,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:41:12 PM,3,PAU,35:38:07.215,00:13:00.004,0,0,NN_Char_Charge,3.22295,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:42:12 PM,3,PAU,35:39:07.211,00:14:00.000,0,0,NN_Char_Charge,3.22363,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:43:12 PM,3,PAU,35:40:07.214,00:15:00.003,0,0,NN_Char_Charge,3.22413,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:44:12 PM,3,PAU,35:41:07.212,00:16:00.001,0,0,NN_Char_Charge,3.22464,0.00000,23.97615,0.00000,0.00000,8.00000,
10/29/2018 10:45:12 PM,3,PAU,35:42:07.213,00:17:00.002,0,0,NN_Char_Charge,3.22515,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:46:12 PM,3,PAU,35:43:07.213,00:18:00.002,0,0,NN_Char_Charge,3.22565,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:47:12 PM,3,PAU,35:44:07.211,00:19:00.000,0,0,NN_Char_Charge,3.22616,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:48:12 PM,3,PAU,35:45:07.210,00:19:59.999,0,0,NN_Char_Charge,3.22666,0.00000,23.87099,0.00000,0.00000,8.00000,
10/29/2018 10:49:12 PM,3,PAU,35:46:07.212,00:21:00.001,0,0,NN_Char_Charge,3.22700,0.00000,23.87099,0.00000,0.00000,8.00000,
